roi_name%,accuracy(%),precision,recall
AngularG,25.0,20.0,33.33333333333333
CentralOpercularCo,87.5,75.0,100.0
CingulateGyrus-anteriordivi,37.5,25.0,33.33333333333333
CingulateGyrus-posteriordivi,62.5,50.0,66.66666666666666
CunealCo,50.0,33.33333333333333,33.33333333333333
FrontalMedialCo,25.0,20.0,33.33333333333333
FrontalOperculumCo,37.5,25.0,33.33333333333333
FrontalOrbitalCo,37.5,33.33333333333333,66.66666666666666
Frontal,25.0,28.57142857142857,66.66666666666666
HeschlsGyrus-includesH1a,50.0,40.0,66.66666666666666
InferiorFrontalGyrus-parsopercul,37.5,33.33333333333333,66.66666666666666
InferiorFrontalGyrus-parstriangul,25.0,20.0,33.33333333333333
InferiorTemporalGyrus-anteriordivi,37.5,33.33333333333333,66.66666666666666
InferiorTemporalGyrus-posteriordivi,37.5,33.33333333333333,66.66666666666666
InferiorTemporalGyrus-temporooccipital,87.5,75.0,100.0
InsularCo,25.0,20.0,33.33333333333333
IntracalcarineCo,50.0,40.0,66.66666666666666
JuxtapositionalLobuleCortex-formerlySupplementaryMotorCo,25.0,0.0,0.0
LateralOccipitalCortex-inferiordivi,37.5,33.33333333333333,66.66666666666666
LateralOccipitalCortex-superiordivi,50.0,40.0,66.66666666666666
LingualG,50.0,40.0,66.66666666666666
MiddleFrontalG,25.0,20.0,33.33333333333333
MiddleTemporalGyrus-anteriordivi,62.5,50.0,100.0
MiddleTemporalGyrus-posteriordivi,25.0,28.57142857142857,66.66666666666666
MiddleTemporalGyrus-temporooccipital,50.0,40.0,66.66666666666666
OccipitalFusiformG,37.5,33.33333333333333,66.66666666666666
Occipital,37.5,33.33333333333333,66.66666666666666
ParacingulateG,50.0,40.0,66.66666666666666
ParahippocampalGyrus-anteriordivi,25.0,28.57142857142857,66.66666666666666
ParahippocampalGyrus-posteriordivi,50.0,33.33333333333333,33.33333333333333
ParietalOperculumCo,62.5,50.0,66.66666666666666
PlanumPo,25.0,20.0,33.33333333333333
PlanumTempo,50.0,33.33333333333333,33.33333333333333
PostcentralG,50.0,40.0,66.66666666666666
PrecentralG,37.5,25.0,33.33333333333333
PrecuneousCo,62.5,50.0,66.66666666666666
SubcallosalCo,37.5,33.33333333333333,66.66666666666666
SuperiorFrontalG,50.0,40.0,66.66666666666666
SuperiorParietalLo,62.5,50.0,33.33333333333333
SuperiorTemporalGyrus-anteriordivi,50.0,42.857142857142854,100.0
SuperiorTemporalGyrus-posteriordivi,50.0,40.0,66.66666666666666
SupracalcarineCo,37.5,33.33333333333333,66.66666666666666
SupramarginalGyrus-anteriordivi,50.0,0.0,0.0
SupramarginalGyrus-posteriordivi,25.0,20.0,33.33333333333333
TemporalFusiformCortex-anteriordivi,37.5,25.0,33.33333333333333
TemporalFusiformCortex-posteriordivi,50.0,42.857142857142854,100.0
TemporalOccipitalFusiformCo,50.0,33.33333333333333,33.33333333333333
Temporal,25.0,28.57142857142857,66.66666666666666
